subwayId,statnNm,arvlMsg2,arvlMsg3,arvlCd,barvlDt,bstatnNm,updnLine,lstcarAt,status,code,message,statnId,updnLine_realtime,status_realtime,code_realtime,message_realtime
1호선,광운대,[16]번째 전역 (동두천중앙),동두천중앙,운행중,0,인천 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000119,1,200,INFO-000,정상 처리되었습니다.
1호선,온수,온수 진입,역곡,진입,0,소요산,상행,0,200,INFO-000,정상 처리되었습니다.,1001000145,0,200,INFO-000,정상 처리되었습니다.
1호선,두정,[21]번째 전역 (안양),안양,운행중,0,천안 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001080168,0,200,INFO-000,정상 처리되었습니다.
1호선,성환,[19]번째 전역 (안양),안양,운행중,0,천안 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001080166,0,200,INFO-000,정상 처리되었습니다.
1호선,외대앞,[19]번째 전역 (동두천중앙),동두천중앙,운행중,0,인천 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000122,1,200,INFO-000,정상 처리되었습니다.
1호선,창동,[19]번째 전역 (연천),연천,운행중,0,광운대,하행,0,200,INFO-000,정상 처리되었습니다.,1001000116,0,200,INFO-000,정상 처리되었습니다.
1호선,평택,[18]번째 전역 (안양),안양,운행중,0,천안 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001080165,1,200,INFO-000,정상 처리되었습니다.
1호선,망월사,[15]번째 전역 (연천),연천,운행중,0,광운대,하행,0,200,INFO-000,정상 처리되었습니다.,1001000112,0,200,INFO-000,정상 처리되었습니다.
1호선,진위,[14]번째 전역 (안양),안양,운행중,0,천안 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001080161,1,200,INFO-000,정상 처리되었습니다.
1호선,녹천,[14]번째 전역 (동두천중앙),동두천중앙,운행중,0,인천 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000117,1,200,INFO-000,정상 처리되었습니다.
1호선,동인천,[14]번째 전역 (역곡),역곡,운행중,0,동인천 (특급),하행,0,200,INFO-000,정상 처리되었습니다.,1001000160,1,200,INFO-000,정상 처리되었습니다.
1호선,오산,[13]번째 전역 (안양),안양,운행중,0,천안 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001080160,0,200,INFO-000,정상 처리되었습니다.
1호선,창동,[13]번째 전역 (동두천중앙),동두천중앙,운행중,0,인천 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000116,0,200,INFO-000,정상 처리되었습니다.
1호선,부개,[13]번째 전역 (용산),용산,운행중,0,동인천,하행,0,200,INFO-000,정상 처리되었습니다.,1001000151,1,200,INFO-000,정상 처리되었습니다.
1호선,동묘앞,전역 출발,동대문,전역출발,45,의정부,상행,0,200,INFO-000,정상 처리되었습니다.,1001000127,0,200,INFO-000,정상 처리되었습니다.
1호선,남영,[10]번째 전역 (청량리),청량리,운행중,0,신창 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000134,0,200,INFO-000,정상 처리되었습니다.
1호선,석수,[10]번째 전역 (용산),용산,운행중,0,신창,하행,0,200,INFO-000,정상 처리되었습니다.,1001080145,1,200,INFO-000,정상 처리되었습니다.
1호선,주안,[10]번째 전역 (역곡),역곡,운행중,0,동인천 (특급),하행,0,200,INFO-000,정상 처리되었습니다.,1001000156,1,200,INFO-000,정상 처리되었습니다.
1호선,청량리,3분 42초 후 (신설동),신설동,운행중,222,광운대,상행,0,200,INFO-000,정상 처리되었습니다.,1001000124,1,200,INFO-000,정상 처리되었습니다.
1호선,청량리,[2]번째 전역 (신설동),신설동,운행중,0,광운대,상행,0,200,INFO-000,정상 처리되었습니다.,1001000124,1,200,INFO-000,정상 처리되었습니다.
1호선,인천,[15]번째 전역 (역곡),역곡,운행중,0,동인천 (특급),하행,0,200,INFO-000,정상 처리되었습니다.,1001000161,0,200,INFO-000,정상 처리되었습니다.
1호선,역곡,[8]번째 전역 (용산),용산,운행중,0,동인천,하행,0,200,INFO-000,정상 처리되었습니다.,1001000146,1,200,INFO-000,정상 처리되었습니다.
1호선,지제,[2]번째 전역 (성환),성환,운행중,0,구로 (급행),상행,0,200,INFO-000,정상 처리되었습니다.,1001080164,0,200,INFO-000,정상 처리되었습니다.
1호선,직산,[2]번째 전역 (천안),천안,운행중,0,광운대,상행,0,200,INFO-000,정상 처리되었습니다.,1001080167,1,200,INFO-000,정상 처리되었습니다.
1호선,안양,[2]번째 전역 (금정),금정,운행중,0,광운대,상행,0,200,INFO-000,정상 처리되었습니다.,1001080147,1,200,INFO-000,정상 처리되었습니다.
1호선,가능,[12]번째 전역 (연천),연천,운행중,0,광운대,하행,0,200,INFO-000,정상 처리되었습니다.,1001000109,0,200,INFO-000,정상 처리되었습니다.
1호선,관악,[11]번째 전역 (용산),용산,운행중,0,신창,하행,0,200,INFO-000,정상 처리되었습니다.,1001080146,0,200,INFO-000,정상 처리되었습니다.
1호선,도화,[11]번째 전역 (역곡),역곡,운행중,0,동인천 (특급),하행,0,200,INFO-000,정상 처리되었습니다.,1001000157,0,200,INFO-000,정상 처리되었습니다.
1호선,녹양,[11]번째 전역 (연천),연천,운행중,0,광운대,하행,0,200,INFO-000,정상 처리되었습니다.,1001000108,1,200,INFO-000,정상 처리되었습니다.
1호선,병점,[10]번째 전역 (안양),안양,운행중,0,천안 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001080157,1,200,INFO-000,정상 처리되었습니다.
1호선,성균관대,[6]번째 전역 (안양),안양,운행중,0,천안 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001080153,0,200,INFO-000,정상 처리되었습니다.
1호선,가능,[6]번째 전역 (동두천중앙),동두천중앙,운행중,0,인천 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000109,0,200,INFO-000,정상 처리되었습니다.
1호선,구로,[6]번째 전역 (용산),용산,운행중,0,신창 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000141,0,200,INFO-000,정상 처리되었습니다.
1호선,세류,[9]번째 전역 (안양),안양,운행중,0,천안 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001080156,1,200,INFO-000,정상 처리되었습니다.
1호선,망월사,[9]번째 전역 (동두천중앙),동두천중앙,운행중,0,인천 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000112,0,200,INFO-000,정상 처리되었습니다.
1호선,서울,[9]번째 전역 (청량리),청량리,운행중,0,신창 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000133,1,200,INFO-000,정상 처리되었습니다.
1호선,금천구청,[9]번째 전역 (용산),용산,운행중,0,신창,하행,0,200,INFO-000,정상 처리되었습니다.,1001080144,0,200,INFO-000,정상 처리되었습니다.
1호선,수원,[8]번째 전역 (안양),안양,운행중,0,천안 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001080155,0,200,INFO-000,정상 처리되었습니다.
1호선,시청,[8]번째 전역 (청량리),청량리,운행중,0,신창 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000132,0,200,INFO-000,정상 처리되었습니다.
